name,domain,linkedin_url,headquarters,location,description,primary_industry,size,revenue_range,revenue_currency,country,company_type,employee_count,revenue_usd_m,rank,category,write_idempotency_key
Wakefern Food Corp.,wakefern.com,https://linkedin.com/company/wakefern-food-corp,"Keasbey, NJ, USA","Keasbey, NJ, USA","Wakefern Food Corp. is the largest retailer-owned cooperative in the United States, supporting independent supermarkets under brands like ShopRite, Price Rite Marketplace, and The Fresh Grocer. The company provides wholesale distribution, retail support, and innovative solutions to its members, serving millions of customers across the Northeast and Mid-Atlantic regions. Wakefern is a leader in the consumer packaged goods (CPG) industry, known for its commitment to quality, value, and communit...",Retail & Wholesale Distribution,"10,001+ employees",$10B+,USD,United States,Private Company,36000,19500.0,11.0,CPG,ffe3783f1d139c75e7c385db6d629b31
"Giant Food, Inc.",giantfood.com,https://linkedin.com/company/giant-food,"Landover, MD, USA","Landover, MD, USA","Giant Food, Inc. is a leading grocery retailer in the Mid-Atlantic region of the United States. The company offers a wide range of fresh produce, grocery items, and household essentials, serving millions of customers annually. As a subsidiary of Ahold Delhaize, Giant Food is known for its commitment to quality, convenience, and community engagement.",Grocery Retail,"10,001+ employees",$10B+,USD,United States,Subsidiary,20000,10000.0,13.0,CPG,38db7757360feeddfd68b4afb2e62427
Dior,dior.com,https://linkedin.com/company/dior,"Paris, France",Global,"Dior is a world-renowned luxury fashion house specializing in haute couture, ready-to-wear, accessories, and beauty products. As a subsidiary of LVMH, Dior is a leader in the fashion and beauty industry, known for its timeless elegance and innovation.",Fashion Retail,"10,001+ employees",$10B+,USD,France,Subsidiary,15000,10000.0,14.0,Retail,6ab808fd8b973d01926f39df08572a21
Uniqlo USA,uniqlo.com,https://linkedin.com/company/uniqlo-usa,"New York, NY, USA",United States,"Uniqlo USA is a subsidiary of Fast Retailing Co., Ltd., specializing in casual wear and innovative clothing solutions. Known for its high-quality, affordable apparel, Uniqlo serves a diverse customer base with a focus on simplicity, functionality, and sustainability. It is a leading brand in the global fashion retail industry.",Fashion Retail,"10,001+ employees",$10B+,USD,United States,Subsidiary,15000,18000.0,12.0,Retail,20fba9c4c87b2d769dd3223bf168be8f
Lego A/S,lego.com,https://linkedin.com/company/lego-group,"Billund, Denmark",Global,"Lego A/S is a leading global toy manufacturer known for its iconic interlocking plastic bricks and creative playsets. Founded in 1932, the company has become a household name, inspiring creativity and learning in children and adults worldwide. Lego operates in the consumer packaged goods (CPG) industry and is recognized for its innovative designs and strong market presence.",Toys & Games,"10,001+ employees",$10B+,USD,Denmark,Private Company,24000,10000.0,15.0,CPG,245d042510d750a374483953410f2e4a
PUMA SE,puma.com,https://linkedin.com/company/puma,"Herzogenaurach, Bavaria, Germany",Global,"PUMA SE is a leading global sportswear company specializing in the design, development, and marketing of footwear, apparel, and accessories. Known for its innovative products and collaborations, PUMA serves athletes and lifestyle consumers worldwide, maintaining a strong presence in the competitive sportswear market.",Sportswear & Apparel,"10,001+ employees",$1B - $10B,USD,Germany,Public Company,16000,9500.0,16.0,CPG,00b108d8f7d26ef0a262018df3b57cd3
PUMA North America Inc.,puma.com,https://linkedin.com/company/puma,"Westford, MA, USA",Global,"PUMA North America Inc. is a subsidiary of PUMA SE, a leading global sportswear brand specializing in athletic and casual footwear, apparel, and accessories. Known for its innovative designs and collaborations, PUMA serves a diverse market of athletes and fashion enthusiasts worldwide.",Fashion Retail,"10,001+ employees",$1B - $10B,USD,United States,Subsidiary,14000,9500.0,17.0,CPG,7b1f19e6ba3dab93dc5b197b5b89a99e
DoorDash Inc,doordash.com,https://linkedin.com/company/doordash,"San Francisco, CA, USA","San Francisco, CA, USA","DoorDash Inc is a leading on-demand food delivery service connecting customers with local restaurants and businesses. The company operates a logistics platform that facilitates delivery and pickup services, offering convenience and efficiency to millions of users. DoorDash is a market leader in the food delivery industry in the United States and has expanded its operations globally.",On-Demand Delivery,"10,001+ employees",$1B - $10B,USD,United States,Public Company,16000,8600.0,18.0,Retail,7238fe5037a55353c7267bcf09767084
Liverpool S.A. de C.V.,liverpool.com.mx,https://linkedin.com/company/liverpool-mexico,"Mexico City, Mexico",Mexico,"Liverpool S.A. de C.V. is a leading retail company in Mexico, operating department stores that offer a wide range of products including clothing, electronics, home goods, and more. Known for its extensive network of stores and e-commerce platform, Liverpool is a key player in the Mexican retail market.",Retail,"10,001+ employees",$1B - $10B,USD,Mexico,Public Company,70000,8000.0,19.0,Retail,ea51dcf6e1aa2e29a7e253d0ca6d9323
Coppel S.A. de C.V.,coppel.com,https://linkedin.com/company/coppel,"Culiacan, Sinaloa, Mexico",Mexico,"Coppel S.A. de C.V. is a leading retail company in Mexico, specializing in department stores that offer a wide range of products including clothing, electronics, furniture, and financial services. Known for its accessible credit options, Coppel serves millions of customers and has a strong presence across the country.",Retail,"10,001+ employees",$1B - $10B,USD,Mexico,Private Company,10000,8000.0,20.0,Retail,c217e8408e0a5c1ce253d9ef3c0f4956
"Coach USA, Inc.",coachusa.com,https://linkedin.com/company/coach-usa,"New York, NY, USA",Global,"Coach USA, Inc. is a leading provider of retail and transportation services, specializing in luxury fashion and accessories. As a subsidiary of Tapestry, the company is known for its high-quality products and strong market presence in the fashion retail industry. It operates globally, catering to a diverse customer base.",Fashion Retail,"10,001+ employees",$1B - $10B,USD,United States,Subsidiary,15000,6700.0,21.0,Retail,df52335e82758eb4b78831c92c218f35
Coach New York,coach.com,https://linkedin.com/company/coach,"New York, NY, USA",Global,"Coach New York is a leading American luxury fashion brand specializing in leather handbags, accessories, footwear, and ready-to-wear apparel. Known for its craftsmanship and timeless designs, Coach operates globally and is a subsidiary of Tapestry Inc., a multinational luxury goods company.",Fashion Retail,"10,001+ employees",$1B - $10B,USD,United States,Subsidiary,15000,6700.0,22.0,Retail,1d7ca6cf76d2b451b3485eaf8d2c6847
Goodwill Industries International,goodwill.org,https://linkedin.com/company/goodwill-industries-international,"Rockville, MD, USA",Global,"Goodwill Industries International is a nonprofit organization dedicated to providing job training, employment placement services, and other community-based programs for individuals facing barriers to employment. It operates a network of thrift stores to fund its initiatives and is recognized as a leader in social enterprise and workforce development.",Nonprofit Social Enterprise,"10,001+ employees",$1B - $10B,USD,United States,Private Company,120000,6500.0,23.0,CPG,36a690d93115a5e7baedeb5bed74808e
"Ashley Furniture Industries, LLC",ashleyfurniture.com,https://linkedin.com/company/ashley-furniture-industries,"Arcadia, Wisconsin, USA",Global,"Ashley Furniture Industries, LLC is one of the world's largest manufacturers and retailers of home furniture. The company designs, manufactures, and sells a wide range of furniture products, including sofas, beds, dining sets, and home decor. Known for its high-quality craftsmanship and affordability, Ashley Furniture serves customers globally through its retail stores and e-commerce platforms.",Furniture Manufacturing and Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,35000,6000.0,24.0,Retail,fa12b9d042c5850163848a74c7231daa
Hanes Brands Inc.,hanes.com,https://linkedin.com/company/hanesbrands,"Winston-Salem, NC, USA",Global,"Hanes Brands Inc. is a leading global marketer and manufacturer of everyday basic apparel under some of the world's strongest apparel brands, including Hanes, Champion, and Playtex. The company specializes in innerwear, activewear, and hosiery, serving a wide range of customers with high-quality, comfortable products. With a strong presence in the consumer goods market, Hanes Brands is recognized for its innovation and sustainability efforts.",Apparel & Fashion,"10,001+ employees",$1B - $10B,USD,United States,Public Company,59000,5800.0,25.0,CPG,0e44cb613bd48790811590c47640acb4
"New Balance Athletics, Inc.",newbalance.com,https://linkedin.com/company/new-balance,"Boston, MA, USA",Global,"New Balance Athletics, Inc. is a leading global manufacturer of athletic footwear, apparel, and accessories. Known for its commitment to quality, innovation, and performance, the company serves athletes and fitness enthusiasts worldwide. New Balance is recognized for its iconic designs and strong market presence in the sportswear industry.",Sportswear and Athletic Apparel,"5,001-10,000 employees",$1B - $10B,USD,United States,Private Company,7000,5300.0,26.0,CPG,b532459917d9a269cc051621a7d965ba
"Anthropologie, Inc.",anthropologie.com,https://linkedin.com/company/anthropologie,"Philadelphia, PA, USA","Philadelphia, PA, USA","Anthropologie, Inc. is a leading retailer specializing in women's apparel, accessories, home decor, and beauty products. Known for its unique and curated collections, the company caters to a creative and lifestyle-focused customer base. As a subsidiary of URBN, Anthropologie has established a strong presence in the fashion retail industry.",Fashion Retail,"5,001-10,000 employees",$1B - $10B,USD,United States,Subsidiary,8000,5000.0,27.0,Retail,15b63ee178dbc61435a2f1b1dadb9174
Bestseller A/S,bestseller.com,https://linkedin.com/company/bestseller,"Brande, Denmark",Global,"Bestseller A/S is a privately held Danish fashion company that designs, develops, and markets a wide range of clothing and accessories for men, women, and children. The company owns popular brands such as VERO MODA, JACK & JONES, and ONLY, and operates in over 70 markets worldwide. Bestseller is known for its strong presence in the retail and wholesale fashion industry.",Fashion Retail,"10,001+ employees",$1B - $10B,USD,Denmark,Private Company,17000,5000.0,28.0,Retail,2c51a9927b9cce1342b4af2b5d362169
Tiffany & Co.,tiffany.com,https://linkedin.com/company/tiffany-and-co,"New York, NY, USA",Global,"Tiffany & Co. is a globally renowned luxury jewelry and specialty retailer, celebrated for its exquisite craftsmanship and iconic designs. Known for its signature blue boxes, the company offers a wide range of fine jewelry, watches, and accessories. As a subsidiary of LVMH, Tiffany & Co. holds a prestigious position in the luxury retail market.",Luxury Jewelry and Retail,"10,001+ employees",$1B - $10B,USD,United States,Subsidiary,14000,5000.0,29.0,Retail,7243a69471d990c4546cda9eb29e05fd
Almarai,almarai.com,https://linkedin.com/company/almarai,"Riyadh, Saudi Arabia","Riyadh, Saudi Arabia","Almarai is a leading food and beverage company in the Middle East, specializing in dairy products, bakery items, and poultry. Known for its high-quality standards, Almarai serves millions of customers across the region and is a trusted name in the retail sector.",Food & Beverage,"10,001+ employees",$1B - $10B,USD,Saudi Arabia,Public Company,42000,5000.0,30.0,Retail,77f010ff607f9b61a427c5e688ec4acd
Company,company.com,https://linkedin.com/company/company,"Tyler, TX, USA","Tyler, TX, USA","Company is a private retail organization headquartered in Tyler, Texas. It specializes in providing a wide range of consumer goods and services, catering to diverse customer needs. With a strong market presence, the company is recognized for its commitment to quality and customer satisfaction.",Retail,"5,001-10,000 employees",$1B - $10B,USD,United States,Private Company,5000,5000.0,32.0,Retail,47c92d2ac0106049b0cb05adfc49d691
Brookshire Grocery Company,brookshires.com,https://linkedin.com/company/brookshire-grocery-company,"Tyler, TX, USA","Tyler, TX, USA","Brookshire Grocery Company is a private retail company operating a chain of supermarkets across the southern United States. The company offers a wide range of grocery products, including fresh produce, bakery items, and household essentials, and is known for its commitment to customer service and community involvement. With decades of experience, it has established itself as a trusted name in the regional grocery market.",Supermarkets & Grocery Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,16000,5000.0,31.0,Retail,83c1e6997856ddbd35605b686709b19c
ATB Market,atbmarket.com,https://linkedin.com/company/atb-market,"Dnipro, Ukraine",Ukraine,"ATB Market is a leading retail chain in Ukraine, specializing in grocery and consumer goods. Known for its extensive network of stores, the company provides affordable products to millions of customers and maintains a strong presence in the Ukrainian market.",Grocery Retail,"10,001+ employees",$1B - $10B,USD,Ukraine,Private Company,65000,4700.0,34.0,Retail,d2042fd5f9aef8f175c6fdf8df8e0876
Abercrombie & Fitch Co.,abercrombie.com,https://linkedin.com/company/abercrombie-&-fitch,"New Albany, OH, USA",Global,"Abercrombie & Fitch Co. is a leading global retailer specializing in casual wear and lifestyle apparel for men, women, and children. Known for its iconic brands, including Abercrombie & Fitch and Hollister, the company focuses on delivering high-quality, trend-forward clothing and accessories. With a strong presence in the fashion retail market, it operates both physical stores and a robust e-commerce platform.",Fashion Retail,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,7200,4950.0,33.0,Retail,383e6d3cbe27bb7c7565a82ade3c03e2
Asics America,asics.com,https://linkedin.com/company/asics-america,"Irvine, CA, USA",Global,"Asics America is a subsidiary of the global sportswear company ASICS Corporation, specializing in athletic footwear, apparel, and accessories. Known for its innovative designs and high-performance products, the company serves athletes and fitness enthusiasts worldwide. It holds a strong market position in the sports and lifestyle industry.",Sportswear & Apparel,"1,001-5,000 employees",$1B - $10B,USD,United States,Subsidiary,1500,4500.0,35.0,CPG,f54794c7600d1249c34dea57c12644fb
Logitech Inc.,logitech.com,https://linkedin.com/company/logitech,"Newark, CA, USA",Global,"Logitech Inc. is a leading provider of consumer electronics and computer peripherals, specializing in products such as keyboards, mice, webcams, and gaming accessories. Known for its innovation and quality, the company serves a global market and is a trusted brand in both personal and professional environments.",Consumer Electronics,"5,001-10,000 employees",$1B - $10B,USD,United States,Subsidiary,8000,4400.0,36.0,Retail,b67711449d1baf240e880a63d255a787
"Floor & Decor Holdings, Inc",flooranddecor.com,https://linkedin.com/company/floor-and-decor,"Atlanta, GA, USA",United States,"Floor & Decor Holdings, Inc is a leading specialty retailer of hard surface flooring, offering a wide selection of tile, wood, laminate, and natural stone products. The company serves both professional contractors and DIY customers, providing high-quality products at competitive prices. With a strong market presence, Floor & Decor is known for its extensive inventory and exceptional customer service.",Home Improvement Retail,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,6000,4400.0,37.0,CPG,55f64bb1fbcb48fe74ab9e8e2c64d875
B & H,bhphotovideo.com,https://linkedin.com/company/bh-photo-video,"New York, NY, USA","New York, NY, USA","B & H is a leading retailer specializing in photography, video, audio, and consumer electronics. Known for its extensive product selection and exceptional customer service, the company serves both professional and amateur customers worldwide. With a strong online presence and a flagship store in New York City, B & H has established itself as a trusted name in the industry.",Consumer Electronics,"1,001-5,000 employees",$1B - $10B,USD,United States,Private Company,2000,4000.0,38.0,Retail,53e36b330ef17c795c585be802f0eede
Mattress Firm,mattressfirm.com,https://linkedin.com/company/mattress-firm,"Houston, TX, USA",United States,"Mattress Firm is a leading retailer specializing in mattresses and bedding products. With a wide range of offerings from top brands, the company focuses on providing quality sleep solutions to customers across the United States. Known for its extensive store network and customer-centric approach, Mattress Firm is a prominent player in the retail bedding industry.",Retail Bedding,"5,001-10,000 employees",$1B - $10B,USD,United States,Private Company,8000,4000.0,39.0,Retail,f575cd7ddf875c142ce8d3fd56386bea
B&H Photo,bhphotovideo.com,https://linkedin.com/company/bh-photo-video,"New York, NY, USA","New York, NY, USA","B&H Photo is a leading retailer specializing in photography, video, audio, and consumer electronics. Known for its extensive product selection and exceptional customer service, the company serves professionals and enthusiasts worldwide through its flagship store in New York City and its online platform.",Consumer Electronics,"1,001-5,000 employees",$1B - $10B,USD,United States,Private Company,2000,4000.0,41.0,Retail,a236e22b75ee0e0c627c41b1b4d7f07c
Rooms To Go Inc.,roomstogo.com,https://linkedin.com/company/rooms-to-go,"Seffner, FL, USA","Seffner, FL, USA","Rooms To Go Inc. is a leading furniture retailer offering a wide range of stylish and affordable home furnishings. Known for its innovative approach to furniture retail, the company provides complete room packages and a seamless shopping experience. With a strong presence in the United States, Rooms To Go has established itself as a trusted name in the furniture industry.",Furniture Retail,"5,001-10,000 employees",$1B - $10B,USD,United States,Private Company,7000,4000.0,40.0,Retail,addc7ddead974368f9f57e0c11ed4d20
Barnes & Noble Inc.,barnesandnoble.com,https://linkedin.com/company/barnes-&-noble,"New York, NY, USA","New York, NY, USA","Barnes & Noble Inc. is a leading retailer of books, educational materials, and related products in the United States. Known for its extensive network of bookstores and online presence, the company serves millions of customers with a wide range of literary and entertainment offerings. It is a prominent name in the retail industry, catering to book enthusiasts and learners alike.",Book Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,15000,4000.0,42.0,Retail,c5564a40f5707e225472099631503643
Swarovski,swarovski.com,https://linkedin.com/company/swarovski,"Wattens, Tyrol, Austria",Global,"Swarovski is a leading global retailer and manufacturer of precision-cut crystals, jewelry, and accessories. Known for its craftsmanship and innovation, the company has established itself as a luxury brand in the fashion and lifestyle industries. Swarovski operates in over 170 countries, offering a wide range of products that combine tradition with modern design.",Luxury Goods & Jewelry,"10,001+ employees",$1B - $10B,USD,Austria,Private Company,18500,3500.0,43.0,Retail,0153b538716fa1423e3122ce33ab86e6
Good Food Holdings,goodfoodholdings.com,https://linkedin.com/company/good-food-holdings,"Paramount, CA, USA","Paramount, CA, USA","Good Food Holdings is a leading consumer packaged goods (CPG) company specializing in premium food retail. The company operates a portfolio of high-quality grocery and specialty food stores, catering to health-conscious and gourmet consumers. With a strong presence in the U.S. market, Good Food Holdings is known for its commitment to quality, sustainability, and customer satisfaction.",Food Retail,"5,001-10,000 employees",$1B - $10B,USD,United States,Private Company,5000,3500.0,44.0,CPG,bb145c8e51d79925eabfd40f9a4d5322
Cinemark USA Inc.,cinemark.com,https://linkedin.com/company/cinemark,"Plano, TX, USA",Global,"Cinemark USA Inc. is one of the largest and most influential movie theater chains in the world, offering premium entertainment experiences through its state-of-the-art cinemas. The company operates theaters across the Americas, providing a wide range of films, concessions, and innovative viewing formats such as XD and IMAX. Cinemark is a leader in the retail entertainment industry, known for its customer-centric approach and cutting-edge technology.",Entertainment & Leisure,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,8500,3400.0,45.0,Retail,3b55be11ac16b3f1a5862793a1fce525
"G-III Apparel Group, Ltd.",giii.com,https://linkedin.com/company/g-iii-apparel-group,"New York, NY, USA",Global,"G-III Apparel Group, Ltd. is a leading designer, manufacturer, and distributor of apparel and accessories. The company specializes in licensed and owned brands, including Calvin Klein, Tommy Hilfiger, DKNY, and Karl Lagerfeld Paris. It operates across wholesale, retail, and e-commerce channels, serving markets worldwide.",Fashion Retail,"1,001-5,000 employees",$1B - $10B,USD,United States,Public Company,4300,3200.0,47.0,CPG,23b929b80d10be680c1a6143ae2d1f92
G-III,giii.com,https://linkedin.com/company/g-iii-apparel-group,"New York, NY, USA",Global,"G-III is a leading global apparel company specializing in the design, manufacturing, and distribution of branded and private label clothing. The company owns and licenses a portfolio of well-known brands, including DKNY, Donna Karan, and Karl Lagerfeld, and partners with major retailers worldwide. G-III is recognized for its strong market presence in fashion retail and its commitment to quality and innovation.",Fashion Retail,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,5000,3200.0,46.0,Retail,6ecdd240e51c950c053d06989516c080
Designer Brands,designerbrands.com,https://linkedin.com/company/designer-brands-inc,"Columbus, OH, USA","Columbus, OH, USA","Designer Brands is a leading footwear and accessories retailer, offering a wide range of high-quality products through its DSW Designer Shoe Warehouse stores and online platforms. The company specializes in providing stylish and affordable options for men, women, and children, and is recognized for its strong market presence in the consumer goods sector.",Fashion Retail,"10,001+ employees",$1B - $10B,USD,United States,Public Company,16000,3100.0,48.0,CPG,42cbeafc321eaba280bb25d0f9316208
Van Cleef & Arpels,vancleefarpels.com,https://linkedin.com/company/van-cleef-&-arpels,"Paris, France",Global,"Van Cleef & Arpels is a luxury jewelry, watch, and perfume brand renowned for its exquisite craftsmanship and timeless designs. Founded in Paris, the company is celebrated for its innovative creations and exceptional quality, catering to high-end clientele worldwide. It operates as a subsidiary of Richemont, a leading luxury goods conglomerate.",Luxury Goods,"1,001-5,000 employees",$1B - $10B,USD,France,Subsidiary,5000,3000.0,49.0,Retail,b94d694b7d513ee82fd98aaa31efd644
Al-Futtaim Group,alfuttaim.com,https://linkedin.com/company/al-futtaim,"Dubai, UAE",Global,"Al-Futtaim Group is a leading private conglomerate based in Dubai, UAE, with operations spanning retail, automotive, real estate, and financial services. The company is known for its diverse portfolio of brands and services, catering to customers across the Middle East, Asia, and beyond.",Retail and Conglomerate,"10,001+ employees",$1B - $10B,USD,UAE,Private Company,20000,3000.0,50.0,Retail,fd0ef623ff29b5fad211e04ffdfce15c
Mango,mango.com,https://linkedin.com/company/mango,"Barcelona, Spain",Global,"Mango is a leading global fashion retailer specializing in contemporary clothing, accessories, and footwear. Known for its stylish and affordable collections, the company operates in numerous countries worldwide and caters to a diverse customer base. Mango is recognized for its commitment to sustainability and innovation in the fashion industry.",Fashion Retail,"10,001+ employees",$1B - $10B,USD,Spain,Private Company,15000,3000.0,51.0,Retail,79ad59d39ec835d8e37b84c13be5a1b2
KFI Erhvervsdrivende Fond,kfi.dk,https://linkedin.com/company/kfi-erhvervsdrivende-fond,"Corte Madera, CA, USA",Global,"KFI Erhvervsdrivende Fond is a prominent player in the retail industry, specializing in providing innovative solutions and services to enhance consumer experiences. With a strong market presence and a commitment to excellence, the company operates globally to deliver high-quality products and services.",Retail,"10,001+ employees",$1B - $10B,USD,United States,Public Company,10000,3000.0,52.0,Retail,a4fa4d394a635038fb7990fc14005693
Riverhead Building Supply Corp,rbscorp.com,https://linkedin.com/company/riverhead-building-supply-corp,"Corte Madera, CA, USA","Corte Madera, CA, USA","Riverhead Building Supply Corp is a leading retailer specializing in building materials and construction supplies. The company serves contractors, builders, and homeowners with high-quality products and exceptional customer service. It is recognized for its strong market presence and commitment to sustainability.",Building Materials Retail,"1,001-5,000 employees",$1B - $10B,USD,United States,Public Company,1200,3000.0,53.0,Retail,c133527128b9437eff4475fa0be709f6
The Men's Wearhouse Inc.,menswearhouse.com,https://linkedin.com/company/the-mens-wearhouse,"Corte Madera, CA, USA","Corte Madera, CA, USA","The Men's Wearhouse Inc. is a leading specialty retailer of men's apparel, offering a wide range of suits, formalwear, casual clothing, and accessories. Known for its high-quality products and exceptional customer service, the company caters to both individual and corporate clients. It has established a strong market presence in the United States.",Fashion Retail,"10,001+ employees",$1B - $10B,USD,United States,Public Company,15000,3000.0,54.0,Retail,4eac95d40d542e4371388db660609bf4
"Rhone Apparel, Inc.",rhone.com,https://linkedin.com/company/rhone-apparel,"Corte Madera, CA, USA",Global,"Rhone Apparel, Inc. is a leading company in the consumer packaged goods (CPG) sector, specializing in premium activewear and lifestyle apparel for men. Known for its innovative designs and high-quality materials, Rhone has established a strong market presence in the competitive fashion industry.",Fashion Retail,201-500 employees,$1B - $10B,USD,United States,Public Company,500,3000.0,55.0,CPG,2c9c1c72e00d4dc19bb547e99af2c25f
RH,rh.com,https://linkedin.com/company/restoration-hardware,"Corte Madera, CA, USA","Corte Madera, CA, USA","RH, formerly known as Restoration Hardware, is a luxury home furnishings retailer offering high-end furniture, lighting, textiles, and decor. The company is known for its innovative design galleries and a focus on creating inspiring spaces. RH has established itself as a leader in the premium home furnishings market.",Luxury Home Furnishings,"5,001-10,000 employees",$1B - $10B,USD,United States,Public Company,6000,3000.0,56.0,Retail,9cd2313504126cf6f559e826c8d9b18d
Fareway Stores Inc,fareway.com,https://linkedin.com/company/fareway-stores,"Boone, IA, USA","Boone, IA, USA","Fareway Stores Inc is a private grocery store chain known for its commitment to providing high-quality products and exceptional customer service. Operating primarily in the Midwest, the company specializes in fresh meat, produce, and a wide range of grocery items. With a strong focus on community and value, Fareway has established itself as a trusted name in the retail grocery industry.",Grocery Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,12000,3000.0,57.0,Retail,e6a6529e3b5d4a205b49d924311552a3
