name,domain,linkedin_url,headquarters,location,description,primary_industry,size,revenue_range,revenue_currency,country,company_type,employee_count,revenue_usd_m,write_idempotency_key
"American Eagle Outfitters, Inc.",ae.com,https://linkedin.com/company/american-eagle-outfitters,"Pittsburgh, United States",Global,"American Eagle Outfitters, Inc. is a leading global retailer specializing in casual apparel, accessories, and footwear for men and women. The company operates under the American Eagle and Aerie brands, catering to a youthful and fashion-forward audience.",Apparel & Fashion,"10,001+ employees",$1B - $10B,USD,United States,Private Company,37000,5262.0,48e34da05448fc0eda751c750721a268
Arcelik A.S.,arcelik.com,https://linkedin.com/company/arcelik,"Istanbul, Turkey",Global,"Arcelik A.S. is a leading manufacturer of consumer electronics and home appliances, offering innovative and sustainable solutions to customers worldwide.",Home Appliances & Consumer Electronics,"10,001+ employees",$1B - $10B,USD,Turkey,Public Company,40000,7544.0,9ca50ffca85e99a5d0c95931120c149d
Anheuser-Busch Inbev,ab-inbev.com,https://linkedin.com/company/anheuser-busch-inbev,"Leuven, Belgium",Global,"Anheuser-Busch InBev is a multinational beverage and brewing company, producing and distributing a wide range of beer and alcoholic beverages. It is one of the largest brewers in the world, operating across multiple continents.",Beverage Manufacturing,"10,001+ employees",$10B+,USD,Belgium,Public Company,170000,57786.0,4806800d5ca0643489004854600da7e8
Army And Air Force Exchange Service,shopmyexchange.com,https://linkedin.com/company/army-and-air-force-exchange-service,"Dallas, United States",United States,"The Army and Air Force Exchange Service (AAFES) is a retailer that provides goods and services to military members, veterans, and their families, operating stores on military bases worldwide.",Military Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,35000,7040.0,b6bd092ee88ef4a4c0dba11f6787212c
Asda Group Limited,asda.com,https://linkedin.com/company/asda,"Leeds, United Kingdom",United Kingdom,"Asda Group Limited is a leading British supermarket retailer offering groceries, clothing, and general merchandise. It is known for its affordable pricing and wide range of products.",Supermarket Retail,"10,001+ employees",$10B+,USD,United Kingdom,Private Company,145000,32611.0,8ef82e3a3f12dbf158ee5102555d936c
Associated British Foods,abf.co.uk,https://linkedin.com/company/associated-british-foods,"London, United Kingdom",Global,"Associated British Foods is a diversified international food, ingredients, and retail group, operating in sectors such as sugar, agriculture, grocery, and clothing. It is known for owning brands like Twinings, Primark, and Ryvita.",Food And Retail,"10,001+ employees",$10B+,USD,United Kingdom,Public Company,128000,20070.0,c5eeba28a31798fb9c1d588329bd0c83
Associated British Foods Plc / Primark,primark.com,https://linkedin.com/company/primark,"London, United Kingdom",Global,"Associated British Foods plc is a diversified international food, ingredients, and retail group. Primark, its retail division, is a leading fashion retailer offering affordable clothing and accessories.",Fashion Retail,"10,001+ employees",$10B+,USD,United Kingdom,Private Company,70000,10991.0,d3ce629fdf2453de42149675566910d3
Atb-Market LLC,atbmarket.com,https://linkedin.com/company/atb-market,"Dnipro, Ukraine",Ukraine,"ATB-Market LLC is a leading retail chain in Ukraine, operating a network of discount stores that provide affordable groceries and household goods to customers.",Discount Retail,"10,001+ employees",$1B - $10B,USD,,Private Company,65000,4720.0,2412970902cae8315c6df497ef858626
A.S. Watson Group,aswatson.com,https://linkedin.com/company/a-s-watson,"Hong Kong, China",Global,"A.S. Watson Group is the world's largest international health and beauty retailer, operating over 16,000 stores across 28 markets. The company offers a wide range of products and services in health, beauty, and lifestyle categories.",Health And Beauty Retail,"10,001+ employees",$10B+,USD,,Private Company,140000,23479.0,90ceaa527ad0104dc09a81cb3c20fb7b
Axel Johnson AB,axeljohnson.se,https://linkedin.com/company/axel-johnson-ab,"Stockholm, Sweden",Europe,"Axel Johnson AB is a private Swedish company operating in the retail sector, managing and developing businesses in trade and services across Europe.",Retail And Trade,"10,001+ employees",$1B - $10B,USD,Sweden,Private Company,25000,7438.0,ed96a6c60df4a57afe5121352036b59d
Avenue Supermarts Ltd. (Dmart),dmartindia.com,https://linkedin.com/company/avenue-supermarts-ltd,"Mumbai, India",India,"Avenue Supermarts Ltd., operating as Dmart, is a leading retail chain in India offering a wide range of products including groceries, apparel, and home essentials at competitive prices.",Retail - Supermarkets & Hypermarkets,"10,001+ employees",$1B - $10B,USD,India,Private Company,11000,6094.0,41feee27d2b1cac74abd2e7eee3cd3dc
Bandai Namco Holdings Inc.,bandainamco.co.jp,https://linkedin.com/company/bandai-namco-holdings,"Tokyo, Japan",Global,"Bandai Namco Holdings Inc. is a leading Japanese multinational company specializing in the development, production, and distribution of toys, video games, and entertainment content. The company is known for iconic franchises such as Pac-Man, Gundam, and Tekken.",Entertainment And Gaming,"5,001-10,000 employees",$1B - $10B,USD,Japan,Public Company,9000,6822.0,4459f544186b51b3f73fc3c4535cddcc
Bass Pro Shops,basspro.com,https://linkedin.com/company/bass-pro-shops,"Springfield, United States",North America,"Bass Pro Shops is a leading retailer specializing in outdoor recreation products, including fishing, hunting, camping, and boating gear. The company also operates destination retail stores and conservation initiatives.",Outdoor Recreation Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,40000,8500.0,0d031bd766b8659f29b26d842c00b11d
Bath & Body Works,bathandbodyworks.com,https://linkedin.com/company/bath-and-body-works,"Columbus, United States",North America,"Bath & Body Works is a leading specialty retailer offering a wide range of personal care, home fragrance, and beauty products. Known for its high-quality and innovative offerings, the company operates across North America and beyond.",Specialty Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,60000,7400.0,afafd2e0f0c85983628f7d843b763296
Bauhaus AG,bauhaus.info,https://linkedin.com/company/bauhaus-ag,"Mannheim, Germany",Europe,"Bauhaus AG is a leading European retail company specializing in home improvement, gardening, and construction products. It operates a network of stores across multiple countries, offering a wide range of high-quality goods for professionals and DIY enthusiasts.",Home Improvement Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,20000,10000.0,3b83d246c403f735ed4b11975859b45c
Beiersdorf AG,beiersdorf.com,https://linkedin.com/company/beiersdorf-ag,"Hamburg, Germany",Global,"Beiersdorf AG is a global leader in skin care and personal care products, known for brands like NIVEA, Eucerin, and La Prairie. The company focuses on innovative solutions to meet consumer needs in the beauty and healthcare sectors.",Skin Care And Personal Care Products,"10,001+ employees",$1B - $10B,USD,Germany,Public Company,20000,9549.0,6e17f109926db956e712539e12a6b2bc
Bed Bath & Beyond Inc.,bedbathandbeyond.com,https://linkedin.com/company/bed-bath-and-beyond,"Union, United States",United States,"Bed Bath & Beyond Inc. is a retail company specializing in home goods, including bedding, bath items, kitchenware, and home decor. It operates stores and an online platform to serve customers across the United States.",Home Goods Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,32000,7886.0,5de826e018e83608d50b6d5228eec92e
Berkshire Hathaway Inc. / Retailing Operations,berkshirehathaway.com,https://linkedin.com/company/berkshire-hathaway,"Omaha, United States",United States,"Berkshire Hathaway Inc. operates a diverse range of retailing businesses, offering products and services across various sectors, including home furnishings, jewelry, and specialty retail. It is part of the larger Berkshire Hathaway conglomerate led by Warren Buffett.",Retail,"10,001+ employees",$10B+,USD,United States,Private Company,10001,19408.0,88a5214f18c4418c261091c35d6c63dd
"Beisia Group Co., Ltd.",beisia.co.jp,https://linkedin.com/company/beisia-group,"Maebashi, Japan",Japan,"Beisia Group Co., Ltd. is a leading Japanese retail company operating a chain of supermarkets and home improvement stores, providing a wide range of products to customers across Japan.",Retail - Supermarkets And Home Improvement,"10,001+ employees",$1B - $10B,USD,Japan,Private Company,15000,7427.0,4a06e30a9500abbf29013a1666f6196e
"Best Buy Co., Inc.",bestbuy.com,https://linkedin.com/company/best-buy,"Richfield, United States",United States,"Best Buy Co., Inc. is a leading retailer of consumer electronics, appliances, and technology products and services. The company operates both online and through physical stores across the United States, Canada, and Mexico.",Consumer Electronics Retail,"10,001+ employees",$10B+,USD,United States,Private Company,68000,46298.0,0ad4f180715484debc7a567ddcdbc51f
B&G Foods,bgfoods.com,https://linkedin.com/company/b-g-foods,"Parsippany, United States",North America,"B&G Foods is a leading manufacturer and distributor of high-quality, shelf-stable and frozen food products, offering a diverse portfolio of well-known brands to consumers across the United States and beyond.",Packaged Foods & Beverages,"1,001-5,000 employees",$1B - $10B,USD,United States,Public Company,2200,2127.0,c81e56dea11961d58c0fd39e26e314b6
BGF Retail,bgf.co.kr,https://linkedin.com/company/bgf-retail,"Seoul, South Korea",South Korea,"BGF Retail operates convenience stores under the CU brand, providing a wide range of products and services to customers across South Korea.",Convenience Store Retail,"5,001-10,000 employees",$1B - $10B,USD,South Korea,Private Company,5000,6324.0,ac9bc52e9ded6b848a988feb0ff2362b
"Big Lots, Inc.",biglots.com,https://linkedin.com/company/big-lots,"Columbus, United States",United States,"Big Lots, Inc. is a retail company that operates a chain of discount stores offering a wide range of products, including furniture, home decor, groceries, and seasonal items. The company focuses on providing value and affordability to its customers.",Discount Retail,"10,001+ employees",$1B - $10B,USD,United States,Private Company,22000,5127.0,f08df74b7c07fa71c227532d41173d6d
"Bj’S Wholesale Club Holdings, Inc.",bjs.com,https://linkedin.com/company/bjs-wholesale-club,"Marlborough, United States",United States,"BJ’s Wholesale Club Holdings, Inc. is a leading membership-based warehouse club retailer offering a wide range of products including groceries, electronics, and household goods at discounted prices.",Warehouse Retail,"10,001+ employees",$10B+,USD,United States,Private Company,29000,19969.0,174e30b3dd4f35b45dc78a62ad7327fb
Bim Birleşik Mağazalar A.Ş.,bim.com.tr,https://linkedin.com/company/bim-birlesik-magazalar-a-s,"Istanbul, Turkey",Turkey,"BİM Birleşik Mağazalar A.Ş. is a leading Turkish retail company specializing in discount grocery stores, offering a wide range of high-quality products at affordable prices.",Discount Retail,"10,001+ employees",$10B+,USD,,Private Company,70000,11038.0,e499d67f888c5ae60ab3dc3cda3e134c
Bj'S Wholesale Club,bjs.com,https://linkedin.com/company/bjs-wholesale-club,"Westborough, United States",United States,"BJ's Wholesale Club is a leading membership-based warehouse club retailer offering a wide range of products including groceries, electronics, and household goods at competitive prices.",Warehouse Club Retail,"10,001+ employees",$10B+,USD,United States,Private Company,34000,18600.0,355cc8ddcd79fede73b6262547d25103
B&M European Value Retail S.A.,bmstores.co.uk,https://linkedin.com/company/b&m-stores,"Liverpool, United Kingdom",United Kingdom,"B&M European Value Retail S.A. operates a chain of discount retail stores offering a wide range of products, including groceries, home goods, and general merchandise, at affordable prices.",Discount Retail,"10,001+ employees",$1B - $10B,USD,United Kingdom,Private Company,39000,6920.0,7f72f2e64478f259675b7caeafd1592d
BRF - Brasil Foods,brf-global.com,https://linkedin.com/company/brf,"São Paulo, Brazil",Latin America,"BRF - Brasil Foods is one of the largest food companies in the world, specializing in the production and distribution of processed foods, fresh meats, and frozen products. The company operates globally, with a strong presence in Latin America.",Food Production,"10,001+ employees",$10B+,USD,Brazil,Public Company,100000,10739.0,68e4e3a23f0a87b6992beda31d84c0d8
British American Tobacco PLC,bat.com,https://linkedin.com/company/british-american-tobacco,"London, United Kingdom",Global,"British American Tobacco PLC is a leading multinational company specializing in the production and sale of tobacco and nicotine products, including cigarettes, vaping devices, and oral nicotine pouches.",Tobacco And Nicotine Products,"10,001+ employees",$10B+,USD,United Kingdom,Public Company,52000,33937.0,8c2c57098ec72cad80c87c6bba950243
Brown-Forman Corporation,brown-forman.com,https://linkedin.com/company/brown-forman,"Louisville, United States",Global,"Brown-Forman Corporation is one of the largest American-owned spirits and wine companies, producing and marketing iconic brands such as Jack Daniel's, Woodford Reserve, and Finlandia Vodka.",Alcoholic Beverages,"1,001-5,000 employees",$1B - $10B,USD,United States,Public Company,4700,3931.0,06cb0f0b8bf764145bebbf795473d5c8
BSH Hausgeräte,bsh-group.com,https://linkedin.com/company/bsh-hausgeraete-gmbh,"Munich, Germany",Global,"BSH Hausgeräte is one of the world's leading manufacturers of home appliances, offering innovative and sustainable solutions for modern living. The company produces a wide range of products, including refrigerators, washing machines, ovens, and small appliances under various brands such as Bosch and Siemens.",Home Appliances,"10,001+ employees",$10B+,USD,Germany,Public Company,62000,15433.0,724fedff3fa5d3a2cd0e6a3121791ee3
Campbell Soup Company,campbellsoupcompany.com,https://linkedin.com/company/campbell-soup-company,"Camden, United States",North America,"Campbell Soup Company is a leading manufacturer and marketer of high-quality soups, simple meals, beverages, and snacks. The company is known for its iconic soup brands and a diverse portfolio of consumer packaged goods.",Packaged Foods And Beverages,"10,001+ employees",$1B - $10B,USD,United States,Public Company,14000,9354.0,ee82c21ef2a8dd1121d5d0ba5b2bda6b
Carrefour S.A.,carrefour.com,https://linkedin.com/company/carrefour,"Massy, France",Global,"Carrefour is a leading multinational retail corporation operating hypermarkets, supermarkets, and convenience stores across the globe. It is one of the largest retail chains in the world, offering a wide range of products and services to customers.",Hypermarkets And Supermarkets,"10,001+ employees",$10B+,USD,France,Private Company,321383,93647.0,c7e1586587e462ae6e4d5027d015e380
Casey'S General Stores,caseys.com,https://linkedin.com/company/caseys-general-stores,"Ankeny, United States",United States,"Casey's General Stores operates a chain of convenience stores across the United States, offering fuel, groceries, and prepared food, including its famous pizza.",Convenience Stores,"10,001+ employees",$10B+,USD,United States,Private Company,20000,14100.0,169592457d05c6241931e63c8b741be3
Ceconomy AG,ceconomy.de,https://linkedin.com/company/ceconomy-ag,"Düsseldorf, Germany",Europe,"Ceconomy AG is a leading European retail company specializing in consumer electronics, operating well-known brands such as MediaMarkt and Saturn. The company focuses on providing innovative solutions and services in the electronics retail sector.",Consumer Electronics Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,48000,23516.0,a07424693b21d85ab4390d98011f4a00
Chewy.Com,chewy.com,https://linkedin.com/company/chewy,"Dania Beach, United States",United States,"Chewy.com is an online retailer specializing in pet food, supplies, and products, offering a wide range of items for pet owners with a focus on convenience and customer service.",E-Commerce - Pet Supplies,"10,001+ employees",$10B+,USD,United States,Private Company,21000,10600.0,8b1ce4c569969b422f87033cd602d970
"China Resources Vanguard Co., Ltd.",crv.com.cn,https://linkedin.com/company/china-resources-vanguard,"Shenzhen, China",China,"China Resources Vanguard Co., Ltd. is a leading retail company in China, operating a wide range of supermarkets, hypermarkets, and convenience stores across the country.",Supermarkets And Retail,"10,001+ employees",$1B - $10B,USD,China,Private Company,120000,7056.0,c522b9c334af15352f217c4a3f2c5374
China Mengniu Dairy Co.,mengniuir.com,https://linkedin.com/company/china-mengniu-dairy-company-limited,"Hohhot, China",China,"China Mengniu Dairy Co. is a leading dairy product manufacturer in China, offering a wide range of products including milk, yogurt, and other dairy-based beverages. The company is committed to providing high-quality and nutritious products to consumers.",Dairy Products,"10,001+ employees",$10B+,USD,China,Public Company,40000,13891.0,9da2f3fffca1c355ca5df2228c063c2c
"Chyuan Lien Enterprise Co Ltd / PX Mart Co., Ltd.",pxmart.com.tw,https://linkedin.com/company/pxmart,"Taipei, Taiwan",Taiwan,"Chyuan Lien Enterprise Co Ltd, operating under the PX Mart brand, is a leading retail chain in Taiwan, offering a wide range of grocery and household products to consumers across the country.",Supermarkets And Grocery Retail,"10,001+ employees",$1B - $10B,USD,Taiwan,Private Company,15000,6493.0,d0fd602f99fa4dff617f27c90cbff5cc
Chow Tai Fook Jewellery Group Limited,chowtaifook.com,https://linkedin.com/company/chow-tai-fook-jewellery-group,"Hong Kong, China",Global,"Chow Tai Fook Jewellery Group Limited is a leading jeweller renowned for its high-quality craftsmanship and extensive retail network, specializing in gold, platinum, and diamond jewellery. The company operates globally, with a strong presence in Greater China and other international markets.",Luxury Goods & Jewellery,"10,001+ employees",$10B+,USD,,Private Company,30000,13891.0,1030f3a2574cbfb0b52c6171de37bd9c
Colgate-Palmolive Company,colgatepalmolive.com,https://linkedin.com/company/colgate-palmolive,"New York, United States",Global,"Colgate-Palmolive Company is a leading multinational consumer products company specializing in oral care, personal care, home care, and pet nutrition products.",Consumer Goods,"10,001+ employees",$10B+,USD,United States,Public Company,34000,19457.0,74c6c976b8655a396f35fb23c4eed86a
"Coopérative U (Système U, Centrale Nationale)",systeme-u.com,https://linkedin.com/company/systeme-u,"Rungis, France",France,"Coopérative U, operating under the Système U brand, is a French retail cooperative specializing in supermarkets and hypermarkets. It provides a wide range of products, including groceries, household goods, and more, across its network of stores in France.",Supermarkets And Hypermarkets,"10,001+ employees",$10B+,USD,France,Private Company,70000,30360.0,4810a3507f128e7addb3f968c6075205
Coty Inc.,coty.com,https://linkedin.com/company/coty,"New York, United States",Global,"Coty Inc. is a global beauty company specializing in cosmetics, skincare, fragrances, and hair color products. It owns a portfolio of iconic brands and serves consumers worldwide.",Beauty And Personal Care,"10,001+ employees",$1B - $10B,USD,United States,Public Company,11000,5554.0,ed838a61e2031a97fb0e921bada0b47d
"Coupang, Inc.",coupang.com,https://linkedin.com/company/coupang,"Seoul, South Korea",South Korea,"Coupang, Inc. is a leading e-commerce company based in South Korea, offering fast delivery services and a wide range of products through its online platform.",E-Commerce,"10,001+ employees",$10B+,USD,South Korea,Private Company,50000,21223.0,82197b4fed9c015c24674e8a34f4e917
CP All Plc.,cpall.co.th,https://linkedin.com/company/cp-all-plc,"Bangkok, Thailand",Thailand,CP All Plc. operates convenience stores under the 7-Eleven brand in Thailand and is a leading retail company in the region. It also engages in wholesale and other related businesses.,Convenience Retail,"10,001+ employees",$10B+,USD,Thailand,Private Company,100000,25998.0,ee074b5bfcd97fd2f9f917171d36e272
Currys Plc,currys.co.uk,https://linkedin.com/company/currys,"London, United Kingdom",United Kingdom,"Currys Plc is a leading retailer of technology products and services, offering a wide range of electronics, appliances, and IT solutions to consumers and businesses across the UK and Europe.",Consumer Electronics Retail,"10,001+ employees",$10B+,USD,United Kingdom,Private Company,35000,10616.0,8b40e79421a47607bc610534256ebeb0
CVS Health Corporation,cvshealth.com,https://linkedin.com/company/cvs-health,"Woonsocket, United States",United States,"CVS Health Corporation is a leading healthcare and retail company that provides pharmacy services, health insurance, and healthcare solutions to millions of customers across the United States.",Healthcare And Retail,"10,001+ employees",$10B+,USD,United States,Private Company,259500,322467.0,7630163ec26c80fa83d0c305ebc7a1c7
Dairy Farm International Holdings Limited,dairyfarmgroup.com,https://www.linkedin.com/company/dairy-farm-international-holdings,"Hong Kong, China",Asia-Pacific,"Dairy Farm International Holdings Limited is a leading pan-Asian retailer operating supermarkets, hypermarkets, convenience stores, health and beauty stores, and home furnishing stores across the region.",Retail And Consumer Goods,"10,001+ employees",$1B - $10B,USD,,Private Company,220000,8345.0,76b3900da22580aea732c0655e02c715
Deichmann SE,deichmann.com,https://linkedin.com/company/deichmann-se,"Essen, Germany",Global,"Deichmann SE is a leading footwear retailer offering a wide range of shoes for men, women, and children. The company operates globally with a strong presence in Europe and beyond.",Footwear Retail,"10,001+ employees",$1B - $10B,USD,Germany,Private Company,43000,8044.0,a9754ceb4030d2997aadaae5be6f0645
"Dick'S Sporting Goods, Inc.",dickssportinggoods.com,https://linkedin.com/company/dick's-sporting-goods,"Coraopolis, United States",United States,"Dick's Sporting Goods, Inc. is a leading retailer of sporting goods, apparel, footwear, and outdoor equipment, serving athletes and outdoor enthusiasts across the United States.",Sporting Goods Retail,"10,001+ employees",$10B+,USD,United States,Private Company,50000,13016.0,7df1c46d8afc38bae7d3a1849b681df7
Dm-Drogerie Markt,dm.de,https://linkedin.com/company/dm-drogerie-markt,"Karlsruhe, Germany",Europe,"DM-Drogerie Markt is a leading German retail chain specializing in drugstore products, cosmetics, health items, and household goods. It operates across Europe with a focus on providing high-quality products and customer service.",Drugstore Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,66000,14500.0,d4ef3d3f207614e5cc9f82ee722c6560
Dm-Drogerie Markt Verwaltungs-Gmbh,dm.de,https://linkedin.com/company/dm-drogerie-markt,"Karlsruhe, Germany",Europe,"dm-drogerie markt Verwaltungs-GmbH is a leading retail company specializing in drugstore products, offering a wide range of health, beauty, and household items across Europe.",Drugstore Retail,"10,001+ employees",$10B+,USD,Germany,Private Company,66000,12265.0,9f851e3b33461bb1f02cd7cfa8a22afc
Dollar General Corporation,dollargeneral.com,https://linkedin.com/company/dollar-general,"Goodlettsville, United States",United States,"Dollar General Corporation is a leading discount retailer offering a wide variety of products including food, household items, and apparel at affordable prices. The company operates thousands of stores across the United States.",Discount Retail,"10,001+ employees",$10B+,USD,United States,Private Company,173000,38698.0,50b01b3b88a7449c0d6114079d661e8b
"Distribuidora Internacional De Alimentación, S.A. (Dia, S.A.)",diacorporate.com,https://www.linkedin.com/company/dia-group,"Madrid, Spain",Spain,"Distribuidora Internacional de Alimentación, S.A. (Dia, S.A.) is a leading Spanish retail company specializing in the distribution of food, household, and personal care products through its network of supermarkets and convenience stores.",Supermarkets And Grocery Retail,"10,001+ employees",$1B - $10B,USD,Spain,Private Company,39000,6313.0,b25725022cb6d3d0a688c8f3484ce511
EG Group,eggroup.com,https://linkedin.com/company/eg-group,"Blackburn, United Kingdom",Global,"EG Group is a leading global convenience retailer, specializing in fuel, foodservice, and grocery offerings across multiple countries.",Convenience Retail,"10,001+ employees",$10B+,USD,United Kingdom,Private Company,50000,28000.0,bb498ef06387790eb7c965be3c420c32
E. Leclerc,e-leclerc.com,https://linkedin.com/company/e-leclerc,"Ivry-sur-Seine, France",France,"E. Leclerc is a leading French retail chain specializing in hypermarkets, supermarkets, and convenience stores, offering a wide range of products including groceries, electronics, and household goods. The company is known for its competitive pricing and commitment to consumer advocacy.",Hypermarkets And Supermarkets,"10,001+ employees",$10B+,USD,France,Private Company,133000,61842.0,c61c179d687fce947587116fa0ef2524
"El Puerto De Liverpool, S.A.B. De C.V.",liverpool.com.mx,https://linkedin.com/company/el-puerto-de-liverpool,"Mexico City, Mexico",Mexico,"El Puerto de Liverpool, S.A.B. de C.V. is a leading Mexican retail company operating department stores, offering a wide range of products including clothing, electronics, and home goods. It also provides financial services through its credit card offerings.",Department Stores,"10,001+ employees",$10B+,USD,Mexico,Private Company,70000,10313.0,7a100b83a996ddf3dc1550a76b24a9ac
E-Mart Inc.,emart.com,https://linkedin.com/company/emart-inc,"Seoul, South Korea",South Korea,"E-Mart Inc. is a leading South Korean retail company specializing in hypermarkets, supermarkets, and e-commerce services, offering a wide range of consumer goods and groceries.",Retail And Consumer Goods,"10,001+ employees",$10B+,USD,South Korea,Private Company,20000,17017.0,d0c4ba56f84119ed593f58d3b73fe4b1
Empire Company Limited (Sobeys),sobeys.com,https://linkedin.com/company/sobeys,"Stellarton, Canada",Canada,"Empire Company Limited, operating as Sobeys, is a leading Canadian retail company that operates grocery stores, pharmacies, and other retail businesses across the country.",Grocery Retail,"10,001+ employees",$10B+,USD,Canada,Private Company,134000,19849.0,3232e96c037a1f797c01624afdf54197
Essilorluxottica SA,essilorluxottica.com,https://linkedin.com/company/essilorluxottica,"Charenton-le-Pont, France",Global,"EssilorLuxottica SA is a global leader in the design, manufacture, and distribution of ophthalmic lenses, optical equipment, and eyewear, including iconic brands such as Ray-Ban and Oakley.",Eyewear And Optical Retail,"10,001+ employees",$10B+,USD,Italy,Private Company,180000,25964.0,f877709f21902af8afeb291deb70b7ea
Estée Lauder Companies Inc.,elcompanies.com,https://linkedin.com/company/the-estee-lauder-companies-inc,"New York, United States",Global,"Estée Lauder Companies Inc. is a global leader in the beauty industry, specializing in the development, manufacturing, and marketing of skincare, makeup, fragrance, and hair care products. The company owns a diverse portfolio of prestigious brands sold in over 150 countries.",Beauty And Personal Care,"10,001+ employees",$10B+,USD,United States,Public Company,63000,15905.0,2a6c41063ac88b589b36f822b62f3f82
First Pacific Co.,firstpacific.com,https://linkedin.com/company/first-pacific-company-limited,"Hong Kong, Hong Kong",AsiaPacific,"First Pacific Co. is a Hong Kong-based investment management and holding company focused on consumer packaged goods, telecommunications, infrastructure, and natural resources across the Asia-Pacific region.",Investment Management And Consumer Packaged Goods,"10,001+ employees",$10B+,USD,Hong Kong,Public Company,10000,10511.0,9cf35ee91921b7b6cf5f48b7e251f1a6
